Date,symbol,adjusted,close,shares_held,year,month,mktcap,day
2017-03-01,AMZN,886.5399779999999,886.5399779999999,4780952,2017,3,4238505080.8990555,1
2017-04-01,AMZN,924.98999,924.98999,4780952,2017,4,4422332742.67048,1
2017-05-01,AMZN,994.6199949999999,994.6199949999999,4780952,2017,5,4755230454.335239,1
2017-06-01,AMZN,968.0,968.0,4780952,2017,6,4627961536.0,1
2017-07-01,AMZN,987.7800289999999,987.7800289999999,4780952,2017,7,4722528905.207607,1
2017-08-01,AMZN,980.599976,980.599976,4780952,2017,8,4688201416.457151,1
2017-09-01,AMZN,961.349976,961.349976,4780952,2017,9,4596168090.457151,1
2017-10-01,AMZN,1105.280029,1105.280029,4780952,2017,10,5284290765.207608,1
2017-11-01,AMZN,1176.75,1176.75,4780952,2017,11,5625985266.0,1
2017-12-01,AMZN,1169.469971,1169.469971,4780952,2017,12,5591179796.792392,1
2018-01-01,AMZN,1450.890015,1450.890015,4780952,2018,1,6936635518.99428,1
2018-02-01,AMZN,1442.839966,1442.839966,4780952,2018,2,6898148621.127632,1
2012-05-01,FB,29.6,29.6,28504932,2012,5,843745987.2,1
2012-06-01,FB,31.1,31.1,28504932,2012,6,886503385.2,1
2012-07-01,FB,21.709999,21.709999,28504932,2012,7,618842045.215068,1
2012-08-01,FB,18.059998999999998,18.059998999999998,28504932,2012,8,514799043.4150679,1
2012-09-01,FB,21.66,21.66,28504932,2012,9,617416827.12,1
2012-10-01,FB,21.110001,21.110001,28504932,2012,10,601739143.024932,1
2012-11-01,FB,28.0,28.0,28504932,2012,11,798138096.0,1
2012-12-01,FB,26.620001000000002,26.620001000000002,28504932,2012,12,758801318.3449321,1
2013-01-01,FB,30.98,30.98,28504932,2013,1,883082793.36,1
2013-02-01,FB,27.25,27.25,28504932,2013,2,776759397.0,1
2013-03-01,FB,25.58,25.58,28504932,2013,3,729156160.56,1
2013-04-01,FB,27.77,27.77,28504932,2013,4,791581961.64,1
2013-05-01,FB,24.35,24.35,28504932,2013,5,694095094.2,1
2013-06-01,FB,24.879998999999998,24.879998999999998,28504932,2013,6,709202679.6550679,1
2013-07-01,FB,36.799999,36.799999,28504932,2013,7,1048981469.095068,1
2013-08-01,FB,41.290001000000004,41.290001000000004,28504932,2013,8,1176968670.7849321,1
2013-09-01,FB,50.23,50.23,28504932,2013,9,1431802734.36,1
2013-10-01,FB,50.209998999999996,50.209998999999996,28504932,2013,10,1431232607.2150679,1
2013-11-01,FB,47.009997999999996,47.009997999999996,28504932,2013,11,1340016796.3101358,1
2013-12-01,FB,54.650002,54.650002,28504932,2013,12,1557794590.809864,1
2014-01-01,FB,62.57,62.57,28504932,2014,1,1783553595.24,1
2014-02-01,FB,68.459999,68.459999,28504932,2014,2,1951447616.2150679,1
2014-03-01,FB,60.240002000000004,60.240002000000004,28504932,2014,3,1717137160.6898642,1
2014-04-01,FB,59.779999,59.779999,28504932,2014,4,1704024806.4550679,1
2014-05-01,FB,63.299999,63.299999,28504932,2014,5,1804362167.095068,1
2014-06-01,FB,67.290001,67.290001,28504932,2014,6,1918096902.7849321,1
2014-07-01,FB,72.650002,72.650002,28504932,2014,7,2070883366.809864,1
2014-08-01,FB,74.82,74.82,28504932,2014,8,2132739012.2399998,1
2014-09-01,FB,79.040001,79.040001,28504932,2014,9,2253029853.784932,1
2014-10-01,FB,74.989998,74.989998,28504932,2014,10,2137584793.670136,1
2014-11-01,FB,77.699997,77.699997,28504932,2014,11,2214833130.885204,1
2014-12-01,FB,78.019997,78.019997,28504932,2014,12,2223954709.125204,1
2015-01-01,FB,75.910004,75.910004,28504932,2015,1,2163809502.139728,1
2015-02-01,FB,78.970001,78.970001,28504932,2015,2,2251034508.544932,1
2015-03-01,FB,82.220001,82.220001,28504932,2015,3,2343675537.544932,1
2015-04-01,FB,78.769997,78.769997,28504932,2015,4,2245333408.125204,1
2015-05-01,FB,79.190002,79.190002,28504932,2015,5,2257305622.0898643,1
2015-06-01,FB,85.769997,85.769997,28504932,2015,6,2444867932.125204,1
2015-07-01,FB,94.010002,94.010002,28504932,2015,7,2679748714.329864,1
2015-08-01,FB,89.43,89.43,28504932,2015,8,2549196068.76,1
2015-09-01,FB,89.900002,89.900002,28504932,2015,9,2562593443.809864,1
2015-10-01,FB,101.970001,101.970001,28504932,2015,10,2906647944.544932,1
2015-11-01,FB,104.239998,104.239998,28504932,2015,11,2971354054.670136,1
2015-12-01,FB,104.660004,104.660004,28504932,2015,12,2983326297.139728,1
2016-01-01,FB,112.209999,112.209999,28504932,2016,1,3198538391.215068,1
2016-02-01,FB,106.91999799999999,106.91999799999999,28504932,2016,2,3047747272.4301357,1
2016-03-01,FB,114.099998,114.099998,28504932,2016,3,3252412684.190136,1
2016-04-01,FB,117.58000200000001,117.58000200000001,28504932,2016,4,3351609961.5698643,1
2016-05-01,FB,118.809998,118.809998,28504932,2016,5,3386670913.9101357,1
2016-06-01,FB,114.279999,114.279999,28504932,2016,6,3257543600.455068,1
2016-07-01,FB,123.940002,123.940002,28504932,2016,7,3532901329.0898643,1
2016-08-01,FB,126.120003,126.120003,28504932,2016,8,3595042109.354796,1
2016-09-01,FB,128.270004,128.270004,28504932,2016,9,3656327741.659728,1
2016-10-01,FB,130.990005,130.990005,28504932,2016,10,3733861185.20466,1
2016-11-01,FB,118.41999799999999,118.41999799999999,28504932,2016,11,3375553990.4301357,1
2016-12-01,FB,115.050003,115.050003,28504932,2016,12,3279492512.114796,1
2017-01-01,FB,130.320007,130.320007,28504932,2017,1,3714762937.774524,1
2017-02-01,FB,135.53999299999998,135.53999299999998,28504932,2017,2,3863558283.7454753,1
2017-03-01,FB,142.050003,142.050003,28504932,2017,3,4049125676.114796,1
2017-04-01,FB,150.25,150.25,28504932,2017,4,4282866033.0,1
2017-05-01,FB,151.46000700000002,151.46000700000002,28504932,2017,5,4317357200.254524,1
2017-06-01,FB,150.979996,150.979996,28504932,2017,6,4303674519.340272,1
2017-07-01,FB,169.25,169.25,28504932,2017,7,4824459741.0,1
2017-08-01,FB,171.970001,171.970001,28504932,2017,8,4901993184.544932,1
2017-09-01,FB,170.869995,170.869995,28504932,2017,9,4870637588.31534,1
2017-10-01,FB,180.059998,180.059998,28504932,2017,10,5132597998.910136,1
2017-11-01,FB,177.179993,177.179993,28504932,2017,11,5050503652.225476,1
2017-12-01,FB,176.46000700000002,176.46000700000002,28504932,2017,12,5029980500.254524,1
2018-01-01,FB,186.889999,186.889999,28504932,2018,1,5327286712.975068,1
2018-02-01,FB,185.309998,185.309998,28504932,2018,2,5282248891.910136,1
2008-01-01,JPM,37.397171,47.400002,41491664,2008,1,1966704956.583328,1
2008-02-01,JPM,32.071632,40.650002,41491664,2008,2,1686636224.583328,1
2008-03-01,JPM,33.886265,42.950001,41491664,2008,3,1782067010.2916641,1
2008-04-01,JPM,37.900852,47.650002,41491664,2008,4,1977077872.583328,1
2008-05-01,JPM,34.202236,43.0,41491664,2008,5,1784141552.0,1
2008-06-01,JPM,27.290203,34.310001,41491664,2008,6,1423579033.331664,1
2008-07-01,JPM,32.679077,40.630001,41491664,2008,7,1685806349.811664,1
2008-08-01,JPM,30.95785,38.490002000000004,41491664,2008,8,1597014230.3433282,1
2008-09-01,JPM,37.56123,46.700001,41491664,2008,9,1937660750.2916641,1
2008-10-01,JPM,33.433735,41.25,41491664,2008,10,1711531140.0,1
2008-11-01,JPM,25.660894,31.66,41491664,2008,11,1313626082.24,1
2008-12-01,JPM,25.555529,31.530001000000002,41491664,2008,12,1308232207.411664,1
2009-01-01,JPM,20.928463,25.51,41491664,2009,1,1058452348.6400001,1
2009-02-01,JPM,18.746195,22.85,41491664,2009,2,948084522.4000001,1
2009-03-01,JPM,21.80629,26.58,41491664,2009,3,1102848429.12,1
2009-04-01,JPM,27.121453999999996,33.0,41491664,2009,4,1369224912.0,1
2009-05-01,JPM,30.326727,36.900002,41491664,2009,5,1531042484.583328,1
2009-06-01,JPM,28.033728000000004,34.110001000000004,41491664,2009,6,1415280700.5316641,1
